	artist_name	track_name	uri	0_x	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature	0_y	User
0	"""Weird Al"" Yankovic"	"Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)"	spotify:track:5eZaT21ZVGyGHJ8kcwaNxA	1	0.59	0.635	4.0	-10.261	0.0	0.13	0.0101	0.0	0.0808	0.567	192.042	audio_features	5eZaT21ZVGyGHJ8kcwaNxA	https://api.spotify.com/v1/tracks/5eZaT21ZVGyGHJ8kcwaNxA	https://api.spotify.com/v1/audio-analysis/5eZaT21ZVGyGHJ8kcwaNxA	176800.0	4.0		Sean
1	$NOT	GOSHA	spotify:track:0j8ppsOOawdPCJnSTcXgOy	1	0.847	0.448	0.0	-10.14	1.0	0.416	0.81	1.35e-05	0.325	0.488	79.975	audio_features	0j8ppsOOawdPCJnSTcXgOy	https://api.spotify.com/v1/tracks/0j8ppsOOawdPCJnSTcXgOy	https://api.spotify.com/v1/audio-analysis/0j8ppsOOawdPCJnSTcXgOy	120000.0	4.0		Sean
2	&TEAM	Scent of you	spotify:track:5ZYkN3JL30YiLogzEy38Sc	1	0.787	0.712	1.0	-4.293	1.0	0.05	0.0752	0.0	0.0374	0.813	93.971	audio_features	5ZYkN3JL30YiLogzEy38Sc	https://api.spotify.com/v1/tracks/5ZYkN3JL30YiLogzEy38Sc	https://api.spotify.com/v1/audio-analysis/5ZYkN3JL30YiLogzEy38Sc	179040.0	4.0		Sean
3	(G)I-DLE	ALREADY	spotify:track:1hQtfLmNABXQMSjjYRXqAX	1	0.663	0.762	2.0	-4.568	0.0	0.174	0.571	7.84e-06	0.161	0.662	91.832	audio_features	1hQtfLmNABXQMSjjYRXqAX	https://api.spotify.com/v1/tracks/1hQtfLmNABXQMSjjYRXqAX	https://api.spotify.com/v1/audio-analysis/1hQtfLmNABXQMSjjYRXqAX	201547.0	4.0		Sean
4	(G)I-DLE	Allergy	spotify:track:38MKW2tQHtyO8djIOKlEFF	2	0.591	0.92	5.0	-3.699	1.0	0.185	0.0524	0.0	0.0467	0.545	165.087	audio_features	38MKW2tQHtyO8djIOKlEFF	https://api.spotify.com/v1/tracks/38MKW2tQHtyO8djIOKlEFF	https://api.spotify.com/v1/audio-analysis/38MKW2tQHtyO8djIOKlEFF	162787.0	4.0		Sean
5	(G)I-DLE	Allergy	spotify:track:38MKW2tQHtyO8djIOKlEFF	2	0.591	0.92	5.0	-3.699	1.0	0.185	0.0524	0.0	0.0467	0.545	165.087	audio_features	38MKW2tQHtyO8djIOKlEFF	https://api.spotify.com/v1/tracks/38MKW2tQHtyO8djIOKlEFF	https://api.spotify.com/v1/audio-analysis/38MKW2tQHtyO8djIOKlEFF	162787.0	4.0		Sean
6	(G)I-DLE	Eyes Roll	spotify:track:79yymC6QQaZ81jR2UYcPfy	2	0.792	0.826	2.0	-6.004	0.0	0.142	0.0807	0.0	0.0694	0.555	120.004	audio_features	79yymC6QQaZ81jR2UYcPfy	https://api.spotify.com/v1/tracks/79yymC6QQaZ81jR2UYcPfy	https://api.spotify.com/v1/audio-analysis/79yymC6QQaZ81jR2UYcPfy	197667.0	4.0		Sean
7	(G)I-DLE	Eyes Roll	spotify:track:79yymC6QQaZ81jR2UYcPfy	2	0.792	0.826	2.0	-6.004	0.0	0.142	0.0807	0.0	0.0694	0.555	120.004	audio_features	79yymC6QQaZ81jR2UYcPfy	https://api.spotify.com/v1/tracks/79yymC6QQaZ81jR2UYcPfy	https://api.spotify.com/v1/audio-analysis/79yymC6QQaZ81jR2UYcPfy	197667.0	4.0		Sean
8	(G)I-DLE	Flip It	spotify:track:0W3ekPhkpDFjAym6E5RdPM	1	0.884	0.716	11.0	-5.687	1.0	0.0649	0.0212	2.07e-06	0.223	0.521	132.018	audio_features	0W3ekPhkpDFjAym6E5RdPM	https://api.spotify.com/v1/tracks/0W3ekPhkpDFjAym6E5RdPM	https://api.spotify.com/v1/audio-analysis/0W3ekPhkpDFjAym6E5RdPM	176573.0	4.0		Sean
9	(G)I-DLE	Help Me	spotify:track:7lZqVyqbMtx4O1lrJCvRH0	1	0.778	0.688	4.0	-5.133	1.0	0.0324	0.144	1.22e-05	0.372	0.426	117.513	audio_features	7lZqVyqbMtx4O1lrJCvRH0	https://api.spotify.com/v1/tracks/7lZqVyqbMtx4O1lrJCvRH0	https://api.spotify.com/v1/audio-analysis/7lZqVyqbMtx4O1lrJCvRH0	238630.0	4.0		Sean
