	artist_name	track_name	uri	0	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
0	$NOT	GOSHA	spotify:track:0j8ppsOOawdPCJnSTcXgOy	52	0.847	0.448	0	-10.14	1	0.416	0.81	1.35e-05	0.325	0.488	79.975	audio_features	0j8ppsOOawdPCJnSTcXgOy	https://api.spotify.com/v1/tracks/0j8ppsOOawdPCJnSTcXgOy	https://api.spotify.com/v1/audio-analysis/0j8ppsOOawdPCJnSTcXgOy	120000	4
1	$NOT	Like Me (feat. iann dior)	spotify:track:706ZrLifsm0nwlucKr4kQg	1	0.902	0.462	7	-7.945	1	0.0979	0.19	2.15e-06	0.094	0.646	103.984	audio_features	706ZrLifsm0nwlucKr4kQg	https://api.spotify.com/v1/tracks/706ZrLifsm0nwlucKr4kQg	https://api.spotify.com/v1/audio-analysis/706ZrLifsm0nwlucKr4kQg	167147	4
2	$NOT	Mean	spotify:track:3PXi72ZtSqx1PZc40KS0Qj	2	0.844	0.72	1	-7.418	0	0.3	0.169	0.0	0.0797	0.631	99.917	audio_features	3PXi72ZtSqx1PZc40KS0Qj	https://api.spotify.com/v1/tracks/3PXi72ZtSqx1PZc40KS0Qj	https://api.spotify.com/v1/audio-analysis/3PXi72ZtSqx1PZc40KS0Qj	125853	4
3	$NOT	Mean	spotify:track:4gncrdopojb9Xe8KoNXKGY	1	0.836	0.726	1	-7.616	0	0.291	0.254	0.0	0.0884	0.611	99.992	audio_features	4gncrdopojb9Xe8KoNXKGY	https://api.spotify.com/v1/tracks/4gncrdopojb9Xe8KoNXKGY	https://api.spotify.com/v1/audio-analysis/4gncrdopojb9Xe8KoNXKGY	124987	4
4	$NOT	Moon & Stars (feat. Maggie Lindemann)	spotify:track:3oGbHF3Kdwf3AsRCbBjUxu	62	0.713	0.47	9	-8.698	1	0.0864	0.606	1.35e-05	0.306	0.0825	84.518	audio_features	3oGbHF3Kdwf3AsRCbBjUxu	https://api.spotify.com/v1/tracks/3oGbHF3Kdwf3AsRCbBjUxu	https://api.spotify.com/v1/audio-analysis/3oGbHF3Kdwf3AsRCbBjUxu	187587	4
5	$NOT	Moon & Stars (feat. Maggie Lindemann)	spotify:track:5Kjz86OFAoN6D4kF1BTSEc	1	0.713	0.47	9	-8.698	1	0.0864	0.606	1.35e-05	0.306	0.0825	84.518	audio_features	5Kjz86OFAoN6D4kF1BTSEc	https://api.spotify.com/v1/tracks/5Kjz86OFAoN6D4kF1BTSEc	https://api.spotify.com/v1/audio-analysis/5Kjz86OFAoN6D4kF1BTSEc	187587	4
6	$NOT	SIMPLE	spotify:track:43KrLcrVbDBimYtjKswIL3	44	0.834	0.655	8	-8.51	0	0.28	0.464	1.73e-06	0.116	0.87	100.023	audio_features	43KrLcrVbDBimYtjKswIL3	https://api.spotify.com/v1/tracks/43KrLcrVbDBimYtjKswIL3	https://api.spotify.com/v1/audio-analysis/43KrLcrVbDBimYtjKswIL3	154800	4
7	$hyfromdatre	6000 Degrees (AH HA)	spotify:track:5no1uAP51SFQzZqITUxsfG	23	0.918	0.517	2	-7.085	1	0.156	0.0365	0.0	0.0998	0.158	131.983	audio_features	5no1uAP51SFQzZqITUxsfG	https://api.spotify.com/v1/tracks/5no1uAP51SFQzZqITUxsfG	https://api.spotify.com/v1/audio-analysis/5no1uAP51SFQzZqITUxsfG	102873	4
8	$wave	Woah	spotify:track:3Ypkw5218Z6DiROXjH3ztk	2	0.935	0.336	9	-12.571	1	0.387	0.0632	0.0	0.0649	0.837	132.013	audio_features	3Ypkw5218Z6DiROXjH3ztk	https://api.spotify.com/v1/tracks/3Ypkw5218Z6DiROXjH3ztk	https://api.spotify.com/v1/audio-analysis/3Ypkw5218Z6DiROXjH3ztk	116062	4
9	$wave	Woah	spotify:track:3Ypkw5218Z6DiROXjH3ztk	2	0.935	0.336	9	-12.571	1	0.387	0.0632	0.0	0.0649	0.837	132.013	audio_features	3Ypkw5218Z6DiROXjH3ztk	https://api.spotify.com/v1/tracks/3Ypkw5218Z6DiROXjH3ztk	https://api.spotify.com/v1/audio-analysis/3Ypkw5218Z6DiROXjH3ztk	116062	4
