	artist_name	track_name	uri	num_listens	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
0	$NOT	GOSHA	spotify:track:0j8ppsOOawdPCJnSTcXgOy	52	0.847	0.448	0	-10.14	1	0.416	0.81	1.35E-05	0.325	0.488	79.975	audio_features	0j8ppsOOawdPCJnSTcXgOy	https://api.spotify.com/v1/tracks/0j8ppsOOawdPCJnSTcXgOy	https://api.spotify.com/v1/audio-analysis/0j8ppsOOawdPCJnSTcXgOy	120000	4
1	$NOT	Mean	spotify:track:3PXi72ZtSqx1PZc40KS0Qj	2	0.844	0.72	1	-7.418	0	0.3	0.169	0	0.0797	0.631	99.917	audio_features	3PXi72ZtSqx1PZc40KS0Qj	https://api.spotify.com/v1/tracks/3PXi72ZtSqx1PZc40KS0Qj	https://api.spotify.com/v1/audio-analysis/3PXi72ZtSqx1PZc40KS0Qj	125853	4
2	$NOT	Moon & Stars (feat. Maggie Lindemann)	spotify:track:3oGbHF3Kdwf3AsRCbBjUxu	62	0.713	0.47	9	-8.698	1	0.0864	0.606	1.35E-05	0.306	0.0825	84.518	audio_features	3oGbHF3Kdwf3AsRCbBjUxu	https://api.spotify.com/v1/tracks/3oGbHF3Kdwf3AsRCbBjUxu	https://api.spotify.com/v1/audio-analysis/3oGbHF3Kdwf3AsRCbBjUxu	187587	4
3	$NOT	SIMPLE	spotify:track:43KrLcrVbDBimYtjKswIL3	44	0.834	0.655	8	-8.51	0	0.28	0.464	1.73E-06	0.116	0.87	100.023	audio_features	43KrLcrVbDBimYtjKswIL3	https://api.spotify.com/v1/tracks/43KrLcrVbDBimYtjKswIL3	https://api.spotify.com/v1/audio-analysis/43KrLcrVbDBimYtjKswIL3	154800	4
4	$hyfromdatre	6000 Degrees (AH HA)	spotify:track:5no1uAP51SFQzZqITUxsfG	23	0.918	0.517	2	-7.085	1	0.156	0.0365	0	0.0998	0.158	131.983	audio_features	5no1uAP51SFQzZqITUxsfG	https://api.spotify.com/v1/tracks/5no1uAP51SFQzZqITUxsfG	https://api.spotify.com/v1/audio-analysis/5no1uAP51SFQzZqITUxsfG	102873	4
5	*NSYNC	Bye Bye Bye	spotify:track:62bOmKYxYg7dhrC6gH9vFn	3	0.61	0.926	8	-4.843	0	0.0479	0.031	0.0012	0.0821	0.861	172.638	audio_features	62bOmKYxYg7dhrC6gH9vFn	https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn	https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn	200400	4
6	112	Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix	spotify:track:6zOg9gP62RJSsKFeOBAgvH	104	0.764	0.525	8	-5.969	1	0.048	0.0296	0	0.0993	0.787	95.813	audio_features	6zOg9gP62RJSsKFeOBAgvH	https://api.spotify.com/v1/tracks/6zOg9gP62RJSsKFeOBAgvH	https://api.spotify.com/v1/audio-analysis/6zOg9gP62RJSsKFeOBAgvH	289413	4
7	112	Peaches & Cream	spotify:track:2SLZ2rX5773RS16mcqBxG7	6	0.677	0.52	4	-6.255	0	0.334	0.00277	0	0.0532	0.768	203.862	audio_features	2SLZ2rX5773RS16mcqBxG7	https://api.spotify.com/v1/tracks/2SLZ2rX5773RS16mcqBxG7	https://api.spotify.com/v1/audio-analysis/2SLZ2rX5773RS16mcqBxG7	193093	4
8	112	U Already Know	spotify:track:0ahRDzkKq0KEi7FRoHb0qk	2	0.694	0.511	8	-9.34	1	0.0449	0.274	0	0.166	0.931	87.014	audio_features	0ahRDzkKq0KEi7FRoHb0qk	https://api.spotify.com/v1/tracks/0ahRDzkKq0KEi7FRoHb0qk	https://api.spotify.com/v1/audio-analysis/0ahRDzkKq0KEi7FRoHb0qk	198880	4
9	11:11	All Year	spotify:track:5LbXnDbn75IQSm5FCTANHd	11	0.541	0.55	5	-8.051	0	0.0949	0.189	0.000728	0.11	0.253	155.767	audio_features	5LbXnDbn75IQSm5FCTANHd	https://api.spotify.com/v1/tracks/5LbXnDbn75IQSm5FCTANHd	https://api.spotify.com/v1/audio-analysis/5LbXnDbn75IQSm5FCTANHd	209579	4
10	2 Chainz	4:00 AM	spotify:track:1nX9KhK3Fff27SnrIor2Yb	123	0.796	0.5	1	-7.21	1	0.425	0.118	0	0.155	0.227	75.012	audio_features	1nX9KhK3Fff27SnrIor2Yb	https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb	https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb	255560	4
